index,Date,value,VOO,VWO,VOO_%_change,VWO_%_change
0,2010-10-01,0.19,80.0101547241211,30.258649826049805,,
1,2010-11-01,0.19,82.79122924804688,31.03855323791504,3.4759019445907313,2.5774560872633856
2,2010-12-01,0.18,84.51793670654297,30.74362564086914,2.0856164042724723,-0.950197629332894
3,2011-01-01,0.17,89.20307159423828,32.418460845947266,5.543361646371814,5.447747850701368
4,2011-02-01,0.16,91.75128936767578,31.665008544921875,2.8566480143516593,-2.324145814959566
5,2011-03-01,0.14,91.87409210205078,30.62483787536621,0.13384306119437195,-3.2849214870099175
6,2011-04-01,0.1,93.90450286865234,33.171905517578125,2.209992741311928,8.316999595484242
7,2011-05-01,0.09,96.0016098022461,33.68531036376953,2.233233625151132,1.5477098411465828
8,2011-06-01,0.09,92.97938537597656,32.27177429199219,-3.1480976542945682,-4.19629819797559
9,2011-07-01,0.07,94.90320587158203,32.791847229003906,2.069082827151636,1.6115411948105063
10,2011-08-01,0.1,91.24650573730469,32.191749572753906,-3.8530838876248197,-1.8300208953133446
11,2011-09-01,0.08,85.68404388427734,29.151273727416992,-6.096082045093832,-9.444891581507198
12,2011-10-01,0.07,78.17232513427734,23.470375061035156,-8.766764976855123,-19.487651618594313
13,2011-11-01,0.08,86.94467163085938,27.077608108520508,11.221805775271099,15.369302953636964
14,2011-12-01,0.07,88.98582458496094,27.164291381835938,2.3476458255747623,0.3201289898576931
15,2012-01-01,0.08,91.38338470458984,26.849641799926758,2.694316910374628,-1.158320596279483
16,2012-02-01,0.1,94.97286224365234,29.566694259643555,3.927932359548736,10.119511016062077
17,2012-03-01,0.13,98.75045776367188,30.781862258911133,3.977552566888143,4.1099217538370425
18,2012-04-01,0.14,102.16668701171875,30.01043128967285,3.459456619656942,-2.506121828334018
19,2012-05-01,0.16,101.36367797851562,29.259490966796875,-0.785979321333008,-2.5022643481114826
20,2012-06-01,0.16,92.34202575683594,25.313629150390625,-8.900281048988635,-13.48575004563114
21,2012-07-01,0.16,98.84034729003906,27.286550521850586,7.037230859885124,7.793909596046666
22,2012-08-01,0.13,99.64755249023438,27.40260887145996,0.8166758032796428,0.425331701478493
23,2012-09-01,0.14,101.9899673461914,27.252418518066406,2.3506998390016465,-0.5480877901008152
24,2012-10-01,0.16,105.05925750732422,29.140317916870117,3.0094040041355408,6.92745635603742
25,2012-11-01,0.16,104.02523040771484,29.09885025024414,-0.9842322553414995,-0.1423034118717359
26,2012-12-01,0.16,103.03885650634766,29.050464630126953,-0.9482064086772102,-0.16628017843001164
27,2013-01-01,0.14,107.0323715209961,31.75251007080078,3.875736930759155,9.301212476552468
28,2013-02-01,0.15,110.90985870361328,31.32653045654297,3.6227237867532125,-1.3415620160673214
29,2013-03-01,0.14,111.59884643554688,30.425695419311523,0.6212141463229015,-2.875629774836086
30,2013-04-01,0.15,115.0094985961914,29.733287811279297,3.056171519312545,-2.275733055530249
