Periodo,Correlacion_VOO,Correlacion_VWO
Periodo 1 (Tasas Bajas),0.04745358998010896,0.012849447535181155
Periodo 2 (Alzas Lentas),0.009919613172346556,-0.06485957192106137
Periodo 3 (Pandemia y Bajada),-0.06429086894619057,-0.0994773546794654
Periodo 4 (Alzas Abruptas),0.31661300873907144,0.3531758468117963
